Donor,Year,Total ODA,ODA short of 0.7% commitment,ODA/GNI
Norway,2024,5.18 billion,0.0 million,1.02343
Luxembourg,2024,596.6 million,0.0 million,0.99907
Sweden,2024,5.01 billion,0.0 million,0.78619
Denmark,2024,3.17 billion,0.0 million,0.71499
Germany,2024,32.42 billion,1.26 billion,0.67373
Netherlands,2024,7.52 billion,966.1 million,0.62034
Ireland,2024,2.47 billion,587.7 million,0.56543
Switzerland,2024,4.60 billion,1.72 billion,0.50986
United Kingdom,2024,17.97 billion,7.30 billion,0.49777
Belgium,2024,3.22 billion,1.46 billion,0.48178
France,2024,15.43 billion,7.19 billion,0.47743
Finland,2024,1.41 billion,690.6 million,0.46967
Japan,2024,16.77 billion,13.21 billion,0.39162
Austria,2024,1.82 billion,1.95 billion,0.33768
Canada,2024,7.42 billion,8.02 billion,0.33631
DAC countries,2024,212.09 billion,231.17 billion,0.33493
Iceland,2024,111.7 million,121.9 million,0.33474
New Zealand,2024,780.8 million,922.2 million,0.32093
Italy,2024,6.67 billion,9.83 billion,0.283
Latvia,2024,111.6 million,187.6 million,0.26111
Spain,2024,4.35 billion,7.65 billion,0.25378
Lithuania,2024,193.4 million,374.4 million,0.23846
Portugal,2024,669.1 million,1.31 billion,0.23722
Poland,2024,2.06 billion,4.08 billion,0.23514
Slovenia,2024,164.4 million,338.1 million,0.22899
United States,2024,63.30 billion,140.96 billion,0.21693
Korea,2024,3.94 billion,9.33 billion,0.20794
Estonia,2024,83.4 million,209.2 million,0.19956
Australia,2024,3.32 billion,8.73 billion,0.19275
Czechia,2024,572.2 million,1.80 billion,0.16902
Greece,2024,357.6 million,1.39 billion,0.14366
Slovak Republic,2024,191.4 million,766.9 million,0.13981
Hungary,2024,190.6 million,1.25 billion,0.09237
Norway,2023,5.38 billion,0.0 million,1.09193
Luxembourg,2023,598.2 million,0.0 million,0.98616
Sweden,2023,5.78 billion,0.0 million,0.92616
Germany,2023,39.16 billion,0.0 million,0.81754
Denmark,2023,3.10 billion,0.0 million,0.72999
Ireland,2023,2.87 billion,125.3 million,0.67073
Netherlands,2023,7.74 billion,422.4 million,0.66376
Switzerland,2023,5.41 billion,881.3 million,0.60192
United Kingdom,2023,20.16 billion,4.23 billion,0.57851
Finland,2023,1.62 billion,497.7 million,0.53529
France,2023,15.44 billion,6.89 billion,0.48406
Japan,2023,18.70 billion,11.03 billion,0.44034
Belgium,2023,2.87 billion,1.74 billion,0.43615
Austria,2023,2.01 billion,1.69 billion,0.37994
Canada,2023,8.07 billion,6.92 billion,0.37685
DAC countries,2023,228.17 billion,200.49 billion,0.3726
Iceland,2023,115.9 million,116.3 million,0.34938
Latvia,2023,143.3 million,150.3 million,0.34167
Poland,2023,2.82 billion,3.10 billion,0.33347
New Zealand,2023,777.0 million,968.7 million,0.31158
Lithuania,2023,221.9 million,290.1 million,0.30339
Estonia,2023,113.2 million,173.5 million,0.27645
Italy,2023,6.25 billion,9.84 billion,0.27193
Slovenia,2023,167.4 million,315.4 million,0.24269
Spain,2023,3.99 billion,7.62 billion,0.24063
Czechia,2023,807.1 million,1.55 billion,0.23949
United States,2023,66.12 billion,127.51 billion,0.23902
Australia,2023,3.31 billion,8.65 billion,0.1937
Portugal,2023,551.6 million,1.50 billion,0.1878
Korea,2023,3.16 billion,9.93 billion,0.16892
Greece,2023,346.2 million,1.35 billion,0.14285
Slovak Republic,2023,184.2 million,765.6 million,0.13576
Hungary,2023,278.2 million,1.22 billion,0.12974
Luxembourg,2022,582.0 million,0.0 million,0.99566
Sweden,2022,5.68 billion,0.0 million,0.89122
Norway,2022,4.05 billion,0.0 million,0.86346
Germany,2022,40.19 billion,0.0 million,0.8471
Denmark,2022,2.78 billion,123.4 million,0.67021
Netherlands,2022,7.50 billion,358.6 million,0.66807
Ireland,2022,2.63 billion,290.2 million,0.63036
Finland,2022,1.76 billion,388.1 million,0.57356
Switzerland,2022,5.00 billion,1.24 billion,0.56074
France,2022,17.79 billion,4.46 billion,0.55955
Estonia,2022,231.3 million,69.2 million,0.53882
Poland,2022,4.45 billion,1.43 billion,0.5302
United Kingdom,2022,18.02 billion,6.70 billion,0.5103
Belgium,2022,2.91 billion,1.59 billion,0.45329
Austria,2022,2.08 billion,1.61 billion,0.39395
Japan,2022,16.21 billion,13.08 billion,0.38738
Czechia,2022,1.19 billion,1.01 billion,0.37952
DAC countries,2022,225.69 billion,198.89 billion,0.37209
Canada,2022,7.78 billion,6.93 billion,0.37024
Lithuania,2022,283.6 million,270.7 million,0.35813
Latvia,2022,160.7 million,153.8 million,0.3576
Iceland,2022,102.3 million,109.4 million,0.3384
Italy,2022,7.38 billion,8.41 billion,0.32718
Spain,2022,4.80 billion,6.30 billion,0.30272
Slovenia,2022,195.2 million,281.3 million,0.28679
Hungary,2022,466.5 million,793.9 million,0.25908
United States,2022,64.20 billion,127.39 billion,0.23456
New Zealand,2022,534.6 million,1.19 billion,0.21753
Portugal,2022,598.7 million,1.39 billion,0.21061
Australia,2022,3.07 billion,8.41 billion,0.18739
Korea,2022,2.83 billion,9.15 billion,0.16541
Greece,2022,406.4 million,1.31 billion,0.16527
Slovak Republic,2022,204.4 million,725.4 million,0.15388
Luxembourg,2021,558.9 million,0.0 million,0.98785
Norway,2021,4.21 billion,0.0 million,0.9262
Sweden,2021,5.54 billion,0.0 million,0.90676
Germany,2021,35.40 billion,0.0 million,0.76499
Denmark,2021,2.84 billion,0.0 million,0.71078
Netherlands,2021,5.79 billion,1.95 billion,0.52366
France,2021,15.81 billion,5.90 billion,0.50965
United Kingdom,2021,16.98 billion,6.61 billion,0.50392
Switzerland,2021,4.29 billion,1.72 billion,0.49995
Finland,2021,1.47 billion,703.0 million,0.4738
Belgium,2021,2.73 billion,1.69 billion,0.4325
Japan,2021,13.70 billion,14.84 billion,0.33605
DAC countries,2021,193.15 billion,212.18 billion,0.33356
Canada,2021,6.48 billion,7.74 billion,0.31916
Austria,2021,1.54 billion,1.95 billion,0.30827
Ireland,2021,1.20 billion,1.58 billion,0.3019
Italy,2021,6.23 billion,8.99 billion,0.28638
Hungary,2021,508.1 million,759.1 million,0.28065
New Zealand,2021,673.4 million,1.01 billion,0.28006
Iceland,2021,78.5 million,119.7 million,0.27725
Spain,2021,3.81 billion,6.57 billion,0.25698
Australia,2021,3.58 billion,7.73 billion,0.22145
United States,2021,54.32 billion,134.88 billion,0.20098
Slovenia,2021,127.3 million,339.6 million,0.19088
Portugal,2021,492.2 million,1.39 billion,0.18303
Estonia,2021,71.5 million,232.1 million,0.16482
Greece,2021,363.9 million,1.26 billion,0.15722
Korea,2021,2.61 billion,9.03 billion,0.15694
Poland,2021,1.20 billion,4.32 billion,0.15185
Lithuania,2021,103.9 million,427.1 million,0.13702
Slovak Republic,2021,176.5 million,725.2 million,0.13701
Czechia,2021,418.7 million,1.75 billion,0.13491
Latvia,2021,51.8 million,245.3 million,0.12195
Sweden,2020,6.54 billion,0.0 million,1.13891
Norway,2020,4.98 billion,0.0 million,1.10909
Luxembourg,2020,508.3 million,0.0 million,1.03045
Germany,2020,32.58 billion,0.0 million,0.73419
Denmark,2020,2.75 billion,0.0 million,0.71961
United Kingdom,2020,21.53 billion,58.8 million,0.69809
Netherlands,2020,6.26 billion,1.14 billion,0.59235
